Card Number,Player,Team,Position/Note
"Baseball
        Basketball
        Boxing
        Cricket
        Football
        Gaming
        Golf
        Hockey
        Misc Sports
        MMA
        Multi-Sport
        Non-Sport
        Racing
        Soccer
        Tennis
        Wrestling","","",""
"","","1","Vladimir Malakhov SS, RC"
"","","1","Vladimir Malakhov SS, RC, VAR"
"","","2","Alexei Zhamnov SS, RC"
"","","2","Alexei Zhamnov SS, RC, VAR"
"","","3","Dmitri Filimonov SS, RC"
"","","3","Dmitri Filimonov SS, RC, VAR"
"","","4","Alexander Semak SS, RC"
"","","4","Alexander Semak SS, RC, VAR"
"","","5","Viacheslav Kozlov SS, RC"
"","","5","Viacheslav Kozlov SS, RC, VAR"
"","","16","Zigmund Palffy CC, RC"
"","","16","Zigmund Palffy CC, RC, VAR"
"","","17","Josef Beranek CC, RC"
"","","17","Josef Beranek CC, RC, VAR"
"","","18","Jiri Slegr CC, RC"
"","","18","Jiri Slegr CC, RC, VAR"
"","","19","Martin Rucinsky CC, RC"
"","","19","Martin Rucinsky CC, RC, VAR"
"","","21","Teemu Selanne CC, RC"
"","","21","Teemu Selanne CC, RC, VAR"
"","","22","Janne Laukkanen CC, RC"
"","","22","Janne Laukkanen CC, RC, VAR"
"","","23","Markus Ketterer CC, RC"
"","","23","Markus Ketterer CC, RC, VAR"
"","","26","Nicklas Lidstrom CC, RC, UER"
"","","26","Nicklas Lidstrom CC, RC, UER, VAR"
"","","27","Tomas Forslund CC, RC"
"","","27","Tomas Forslund CC, RC, VAR"
"","","29","Niklas Andersson CC, RC, UER"
"","","29","Niklas Andersson CC, RC, UER, VAR"
"","","46","Russ Romaniuk RC"
"","","46","Russ Romaniuk RC, VAR"
"","","48","Michel Picard RC"
"","","48","Michel Picard RC, VAR"
"","","49","Dennis Vaske RC"
"","","49","Dennis Vaske RC, VAR"
"","","50","Eric Murano RC"
"","","50","Eric Murano RC, VAR"
"","","51","Enrico Ciccone RC"
"","","51","Enrico Ciccone RC, VAR"
"","","52","Shaun Van Allen RC"
"","","52","Shaun Van Allen RC, VAR"
"","","64","Peter Forsberg DC, RC"
"","","64","Peter Forsberg DC, RC, VAR"
"","","65","Patrick Poulin DC, RC"
"","","65","Patrick Poulin DC, RC, VAR"
"","","67","Tyler Wright DC, RC"
"","","67","Tyler Wright DC, RC, VAR"
"","","68","Philippe Boucher DC, RC"
"","","68","Philippe Boucher DC, RC, VAR"
"","","69","Glen Murray DC, RC"
"","","69","Glen Murray DC, RC, VAR"
"","","70","Martin Rucinsky DC, RC"
"","","70","Martin Rucinsky DC, RC, VAR"
"","","71","Zigmund Palffy DC, RC"
"","","71","Zigmund Palffy DC, RC, VAR"
"","","72","Jassen Cullimore DC, RC"
"","","72","Jassen Cullimore DC, RC, VAR"
"","","73","Jamie Pushor DC, RC"
"","","73","Jamie Pushor DC, RC, VAR"
"","","74","Andrew Verner DC, RC"
"","","74","Andrew Verner DC, RC, VAR"
"","","75","Jason Dawe DC, RC"
"","","75","Jason Dawe DC, RC, VAR"
"","","76","Jamie Matthews DC, RC"
"","","76","Jamie Matthews DC, RC, VAR"
"","","77","Sandy McCarthy DC, RC"
"","","77","Sandy McCarthy DC, RC, VAR"
"","","107","Pat Jablonski RC"
"","","107","Pat Jablonski RC, VAR"
"","","108","Jarmo Kekalainen RC"
"","","108","Jarmo Kekalainen RC, VAR"
"","","110","Corey Millen RC"
"","","110","Corey Millen RC, VAR"
"","","158","Brian Glynn RC"
"","","158","Brian Glynn RC, VAR"
"","","192","Kevin Haller RC"
"","","192","Kevin Haller RC, VAR"
"","","249","Louie DeBrusk RC"
"","","249","Louie DeBrusk RC, VAR"
"","","273","Valeri Kamensky RC"
"","","273","Valeri Kamensky RC, VAR"
"","","287","Ron Hoover RC"
"","","287","Ron Hoover RC, VAR"
"","","304","Brad Jones RC"
"","","304","Brad Jones RC, VAR"
"","","308","Jim Paek RC"
"","","308","Jim Paek RC, VAR"
"","","335","Dominik Hasek RC"
"","","335","Dominik Hasek RC, VAR"
"","","345","John LeClair RC"
"","","345","John LeClair RC, VAR"
"","","347","Dan Currie RC"
"","","347","Dan Currie RC, VAR"
"","","362","Jiri Sejba RC"
"","","362","Jiri Sejba RC, VAR"
"","","364","Jeff Lazaro RC"
"","","364","Jeff Lazaro RC, VAR"
"","","365","Alexei Gusarov RC"
"","","365","Alexei Gusarov RC, VAR"
