Set_Name,Card_Num,Player,Team,Is_Young_Gun,Set Name,Card,Description,Team City,Team Name,Rookie,Auto,Mem,#'d,SPs,Stated Odds,Point
VIEW DETAILS,1,Jeremy Swayman,Bruins,false,Base Set,1,Jeremy Swayman,Boston,Bruins,,,,299,,Random Inserts in Packs,60
VIEW DETAILS,2,Bryan Rust,Penguins,false,Base Set,2,Bryan Rust,Pittsburgh,Penguins,,,,299,,Random Inserts in Packs,60
VIEW DETAILS,3,Matthew Tkachuk,Panthers,false,Base Set,3,Matthew Tkachuk,Florida,Panthers,,,,299,,Random Inserts in Packs,60
VIEW DETAILS,4,Jacob Markstrom,Devils,false,Base Set,4,Jacob Markstrom,New Jersey,Devils,,,,299,,Random Inserts in Packs,60
VIEW DETAILS,5,Matty Beniers,Kraken,false,Base Set,5,Matty Beniers,Seattle,Kraken,,,,299,,Random Inserts in Packs,60
VIEW DETAILS,6,Dylan Larkin,Red Wings,false,Base Set,6,Dylan Larkin,Detroit,Red Wings,,,,299,,Random Inserts in Packs,60
VIEW DETAILS,7,Juuse Saros,Predators,false,Base Set,7,Juuse Saros,Nashville,Predators,,,,299,,Random Inserts in Packs,60
VIEW DETAILS,8,Nikita Kucherov,Lightning,false,Base Set,8,Nikita Kucherov,Tampa Bay,Lightning,,,,299,,Random Inserts in Packs,60
VIEW DETAILS,9,Anze Kopitar,Kings,false,Base Set,9,Anze Kopitar,Los Angeles,Kings,,,,299,,Random Inserts in Packs,60
VIEW DETAILS,10,Jack Eichel,Golden Knights,false,Base Set,10,Jack Eichel,Vegas,Golden Knights,,,,299,,Random Inserts in Packs,60
VIEW DETAILS,11,Adam Fantilli,Blue Jackets,false,Base Set,11,Adam Fantilli,Columbus,Blue Jackets,,,,299,,Random Inserts in Packs,60
VIEW DETAILS,12,Kirill Kaprizov,Wild,false,Base Set,12,Kirill Kaprizov,Minnesota,Wild,,,,299,,Random Inserts in Packs,60
VIEW DETAILS,13,Jordan Binnington,Blues,false,Base Set,13,Jordan Binnington,St. Louis,Blues,,,,299,,Random Inserts in Packs,60
VIEW DETAILS,14,Leon Draisaitl,Oilers,false,Base Set,14,Leon Draisaitl,Edmonton,Oilers,,,,299,,Random Inserts in Packs,60
VIEW DETAILS,15,Travis Konecny,Flyers,false,Base Set,15,Travis Konecny,Philadelphia,Flyers,,,,299,,Random Inserts in Packs,60
VIEW DETAILS,16,Logan Cooley,Hockey Club,false,Base Set,16,Logan Cooley,Utah,Hockey Club,,,,299,,Random Inserts in Packs,60
VIEW DETAILS,17,Sergei Bobrovsky,Panthers,false,Base Set,17,Sergei Bobrovsky,Florida,Panthers,,,,299,,Random Inserts in Packs,60
VIEW DETAILS,18,Josh Morrissey,Jets,false,Base Set,18,Josh Morrissey,Winnipeg,Jets,,,,299,,Random Inserts in Packs,60
VIEW DETAILS,19,Troy Terry,Ducks,false,Base Set,19,Troy Terry,Anaheim,Ducks,,,,299,,Random Inserts in Packs,60
VIEW DETAILS,20,Sebastian Aho,Hurricanes,false,Base Set,20,Sebastian Aho,Carolina,Hurricanes,,,,299,,Random Inserts in Packs,60
VIEW DETAILS,21,Brock Nelson,Islanders,false,Base Set,21,Brock Nelson,New York,Islanders,,,,299,,Random Inserts in Packs,60
VIEW DETAILS,22,Michael Bunting,Penguins,false,Base Set,22,Michael Bunting,Pittsburgh,Penguins,,,,299,,Random Inserts in Packs,60
VIEW DETAILS,23,Mason McTavish,Ducks,false,Base Set,23,Mason McTavish,Anaheim,Ducks,,,,299,,Random Inserts in Packs,60
VIEW DETAILS,24,Elias Pettersson,Canucks,false,Base Set,24,Elias Pettersson,Vancouver,Canucks,,,,299,,Random Inserts in Packs,60
VIEW DETAILS,25,Owen Power,Sabres,false,Base Set,25,Owen Power,Buffalo,Sabres,,,,299,,Random Inserts in Packs,60
VIEW DETAILS,26,Steven Stamkos,Predators,false,Base Set,26,Steven Stamkos,Nashville,Predators,,,,299,,Random Inserts in Packs,60
VIEW DETAILS,27,Artemi Panarin,Rangers,false,Base Set,27,Artemi Panarin,New York,Rangers,,,,299,,Random Inserts in Packs,60
VIEW DETAILS,28,Kyle Connor,Jets,false,Base Set,28,Kyle Connor,Winnipeg,Jets,,,,299,,Random Inserts in Packs,60
