master_set,card_num,player,team,variations
,1,Jeremy Swayman,Bruins,VIEW DETAILS
,2,Bryan Rust,Penguins,VIEW DETAILS
,3,Matthew Tkachuk,Panthers,VIEW DETAILS
,4,Jacob Markstrom,Devils,VIEW DETAILS
,5,Matty Beniers,Kraken,VIEW DETAILS
,6,Dylan Larkin,Red Wings,VIEW DETAILS
,7,Juuse Saros,Predators,VIEW DETAILS
,8,Nikita Kucherov,Lightning,VIEW DETAILS
,9,Anze Kopitar,Kings,VIEW DETAILS
,10,Jack Eichel,Golden Knights,VIEW DETAILS
,11,Adam Fantilli,Blue Jackets,VIEW DETAILS
,12,Kirill Kaprizov,Wild,VIEW DETAILS
,13,Jordan Binnington,Blues,VIEW DETAILS
,14,Leon Draisaitl,Oilers,VIEW DETAILS
,15,Travis Konecny,Flyers,VIEW DETAILS
,16,Logan Cooley,Hockey Club,VIEW DETAILS
,17,Sergei Bobrovsky,Panthers,VIEW DETAILS
,18,Josh Morrissey,Jets,VIEW DETAILS
,19,Troy Terry,Ducks,VIEW DETAILS
,20,Sebastian Aho,Hurricanes,VIEW DETAILS
,21,Brock Nelson,Islanders,VIEW DETAILS
,22,Michael Bunting,Penguins,VIEW DETAILS
,23,Mason McTavish,Ducks,VIEW DETAILS
,24,Elias Pettersson,Canucks,VIEW DETAILS
,25,Owen Power,Sabres,VIEW DETAILS
,26,Steven Stamkos,Predators,VIEW DETAILS
,27,Artemi Panarin,Rangers,VIEW DETAILS
,28,Kyle Connor,Jets,VIEW DETAILS
,29,Nathan MacKinnon,Avalanche,VIEW DETAILS
,30,Leo Carlsson,Ducks,VIEW DETAILS
,31,Juraj Slafkovsky,Canadiens,VIEW DETAILS
,32,Tyler Toffoli,Sharks,VIEW DETAILS
,33,Alex DeBrincat,Red Wings,VIEW DETAILS
,34,Auston Matthews,Maple Leafs,VIEW DETAILS
,35,Matt Boldy,Wild,VIEW DETAILS
,36,Alex Ovechkin,Capitals,VIEW DETAILS
,37,Andrei Svechnikov,Hurricanes,VIEW DETAILS
,38,Kent Johnson,Blue Jackets,VIEW DETAILS
,39,Brady Tkachuk,Senators,VIEW DETAILS
,40,William Karlsson,Golden Knights,VIEW DETAILS
,41,Jason Robertson,Stars,VIEW DETAILS
,42,Andrei Vasilevskiy,Lightning,VIEW DETAILS
,43,Aleksander Barkov,Panthers,VIEW DETAILS
,44,Nico Hischier,Devils,VIEW DETAILS
,45,Clayton Keller,Hockey Club,VIEW DETAILS
,46,Cale Makar,Avalanche,VIEW DETAILS
,47,Bo Horvat,Islanders,VIEW DETAILS
,48,Jake Guentzel,Lightning,VIEW DETAILS
,49,Connor McDavid,Oilers,VIEW DETAILS
,50,Roman Josi,Predators,VIEW DETAILS
,51,Jared McCann,Kraken,VIEW DETAILS
,52,MacKenzie Weegar,Flames,VIEW DETAILS
,53,Wyatt Johnston,Stars,VIEW DETAILS
,54,Quinn Hughes,Canucks,VIEW DETAILS
,55,Petr Mrazek,Blackhawks,VIEW DETAILS
,56,John Carlson,Capitals,VIEW DETAILS
,57,Brock Faber,Wild,VIEW DETAILS
,58,Travis Sanheim,Flyers,VIEW DETAILS
,59,Kirill Marchenko,Blue Jackets,VIEW DETAILS
,60,Mark Stone,Golden Knights,VIEW DETAILS
,61,Kevin Fiala,Kings,VIEW DETAILS
,62,Jordan Kyrou,Blues,VIEW DETAILS
,63,Brad Marchand,Bruins,VIEW DETAILS
,64,Brock Boeser,Canucks,VIEW DETAILS
,65,Evan Bouchard,Oilers,VIEW DETAILS
,66,Alexis Lafreniere,Rangers,VIEW DETAILS
,67,Mitch Marner,Maple Leafs,VIEW DETAILS
,68,Nazem Kadri,Flames,VIEW DETAILS
,69,Fabian Zetterlund,Sharks,VIEW DETAILS
,70,Nick Suzuki,Canadiens,VIEW DETAILS
,71,William Eklund,Sharks,VIEW DETAILS
,72,Tage Thompson,Sabres,VIEW DETAILS
,73,Pierre-Luc Dubois,Capitals,VIEW DETAILS
,74,Jaccob Slavin,Hurricanes,VIEW DETAILS
,75,Mathew Barzal,Islanders,VIEW DETAILS
,76,Tim Stutzle,Senators,VIEW DETAILS
,77,Zach Hyman,Oilers,VIEW DETAILS
,78,Thatcher Demko,Canucks,VIEW DETAILS
,79,JJ Peterka,Sabres,VIEW DETAILS
,80,Igor Shesterkin,Rangers,VIEW DETAILS
,81,Robert Thomas,Blues,VIEW DETAILS
,82,Devon Toews,Avalanche,VIEW DETAILS
,83,Cole Caufield,Canadiens,VIEW DETAILS
,84,William Nylander,Maple Leafs,VIEW DETAILS
,85,Jake Oettinger,Stars,VIEW DETAILS
,86,Jack Hughes,Devils,VIEW DETAILS
,87,Sidney Crosby,Penguins,VIEW DETAILS
,88,David Pastrnak,Bruins,VIEW DETAILS
,89,Connor Hellebuyck,Jets,VIEW DETAILS
,90,Connor Bedard,Blackhawks,VIEW DETAILS
,91,Ed Belfour,Stars,VIEW DETAILS
,92,Mark Messier,Rangers,VIEW DETAILS
