Set Name,Card #,Player,Team,Variations
Wayne Gretzky Cards,Rookie,Cards,N/A,Base
Wayne Gretzky Cards,Fan,Shop,N/A,Base
Wayne Gretzky Cards,More,Info,N/A,Base
Wayne Gretzky Cards,Shop,for Wayne Gretzky Figures and Bobbleheads,N/A,Bobbleheads and Figures
Wayne Gretzky Cards,Shop,for Wayne Gretzky Photographs and Posters,N/A,"Photographs, Posters and Prints"
Wayne Gretzky Cards,How,to Spot a Fake Wayne Gretzky Rookie Card,N/A,More Info
Wayne Gretzky Cards,Top,10 Wayne Gretzky Cards,N/A,More Info
Wayne Gretzky Cards,Wayne,Gretzky Fathead Wall Decals Released,N/A,More Info
Wayne Gretzky Cards,Official,Website,N/A,More Info
Wayne Gretzky Cards,NHL,Player Profile,N/A,More Info
Wayne Gretzky Cards,Wikipedia,Entry,N/A,More Info
Wayne Gretzky Cards,Hockey,Reference,N/A,More Info
2025 Upper Deck Team Canada Juniors  Set Review and,Standard Base,#1-70 (or #1-72 in some checklists),70-72,Base
2025 Upper Deck Team Canada Juniors  Set Review and,Red Foil,1:1 packs,N/A,Base
2025 Upper Deck Team Canada Juniors  Set Review and,Rose Gold Foil,N/A,1:2 packs,Base
2025 Upper Deck Team Canada Juniors  Set Review and,Deluxe,/250,N/A,Base
2025 Upper Deck Team Canada Juniors  Set Review and,Exclusives,/100,N/A,Base
2025 Upper Deck Team Canada Juniors  Set Review and,Outburst Red,/25,N/A,Base
2025 Upper Deck Team Canada Juniors  Set Review and,High Gloss,/10,N/A,Base
2025 Upper Deck Team Canada Juniors  Set Review and,Outburst Gold,1/1,N/A,Base
2025 Upper Deck Team Canada Juniors  Set Review and,Black,1/1,One-of-one black variant.,Base
2025 Upper Deck Team Canada Juniors  Set Review and,Jersey (Relic),Standard Base (#1-70),1:6 packs,Base
2025 Upper Deck Team Canada Juniors  Set Review and,Jersey (Relic),Pride of the Program (#71-100),1:60 packs,Base
2025 Upper Deck Team Canada Juniors  Set Review and,Auto Patch,Standard Base,/99 or /150,Base
2025 Upper Deck Team Canada Juniors  Set Review and,Auto Patch,Pride of the Program,/25,Base
2024 Wild Card Splat Baseball Set Review and,USA,"Balloon, Classic, Vintage",Yes,Base
2024 Wild Card Splat Baseball Set Review and,SPLATMO,"Standard splat (possibly ""Splat Motion"")",Yes,Base
2024 Wild Card Splat Baseball Set Review and,PAINT THE TOWN,Color-match editions,Yes,Base
2024 Wild Card Splat Baseball Set Review and,DOUBLE SPLAT,Dual-player cards,Yes (Dual),Base
2025 Topps Cosmic Chrome Baseball Set Review and,Superfractor,1/1,"Ultimate one-of-one; odds not disclosed. Appears in base, inserts, and autographs.",Base
2025 Panini Mosaic No Huddle Football Set Review and,Hall of Fame,291–300,10,Base
2025 Panini Mosaic No Huddle Football Set Review and,Rookies,301–400,100,Base
2025 Panini Mosaic No Huddle Football Set Review and,Mosaic Orange,/199,,Base
2025 Panini Mosaic No Huddle Football Set Review and,Silver Knight,/149,,Base
2025 Panini Mosaic No Huddle Football Set Review and,Mosaic Blue,/99,,Base
2025 Panini Mosaic No Huddle Football Set Review and,Blue Sparkle,/96,,Base
2025 Panini Mosaic No Huddle Football Set Review and,Mosaic Purple,/49,,Base
2025 Panini Mosaic No Huddle Football Set Review and,Mosaic White,/25,,Base
2025 Panini Mosaic No Huddle Football Set Review and,Gold Sparkle,/24,,Base
2025 Panini Mosaic No Huddle Football Set Review and,Mosaic Gold,/10,,Base
2024-25 Upper Deck The Cup  Set Review and,1,Jeremy Swayman,Boston Bruins,Base
2024-25 Upper Deck The Cup  Set Review and,2,Kirill Marchenko,Columbus Blue Jackets,Base
2024-25 Upper Deck The Cup  Set Review and,3,Clayton Keller,Utah Hockey Club,Base
2024-25 Upper Deck The Cup  Set Review and,4,Bobby Orr,Boston Bruins,Base
2024-25 Upper Deck The Cup  Set Review and,5,Thatcher Demko,Vancouver Canucks,Base
2024-25 Upper Deck The Cup  Set Review and,...,...,...,Base
2024-25 Upper Deck The Cup  Set Review and,95,Evgeni Malkin,Pittsburgh Penguins,Base
2024-25 Upper Deck The Cup  Set Review and,Lavish,TBD (B&W photography),/50 (base); Auto /25,Base
2024-25 Upper Deck The Cup  Set Review and,Patron Patches,TBD,"Varied # (e.g., /15–/50); Auto versions",Base
2024-25 Upper Deck The Cup  Set Review and,Color Coded,TBD,/35,Base
2024-25 Upper Deck The Cup  Set Review and,Cup Trios,TBD,Jersey /49; Patch /10; Tag /2; Button 1/1,Base
2024-25 Upper Deck The Cup  Set Review and,Cup Quads,TBD,Jersey /25; Patch /5; Tag /2; Button 1/1,Base
2024-25 Upper Deck The Cup  Set Review and,Cup Sixes,TBD,Jersey /15; Patch /3; Tag /2; Button 1/1,Base
2024-25 Upper Deck The Cup  Set Review and,Enshrinements,TBD,"Varied # (e.g., /99 or less); Duos varied",Base
2024-25 Upper Deck The Cup  Set Review and,Limited Logos,TBD,/50,Base
2024-25 Upper Deck The Cup  Set Review and,Logomarks,TBD,Jersey /99; Gold Auto Patch /10; 1:10 packs,Base
2024-25 Upper Deck The Cup  Set Review and,Baroque,TBD,/99,Base
2024-25 Upper Deck The Cup  Set Review and,Top Tens,TBD,"Varied # (e.g., /25); Black 1/1",Base
2024-25 Upper Deck The Cup  Set Review and,Triple Autos,TBD,/3,Base
2024-25 Upper Deck The Cup  Set Review and,Dual Autos,TBD,/10,Base
2024-25 Upper Deck The Cup  Set Review and,Dual Shields,TBD,1/1,Base
2025 Panini Special Edition Minecraft Set Review and,Gold,"Base, Inserts",Common parallel (1:1 box average); likely /199 or lower,Base
2025 Panini Special Edition Minecraft Set Review and,Diamond,"Base, Inserts","Mid-tier chase; part of ""other cards"" pool",Base
2025 Panini Special Edition Minecraft Set Review and,Netherite,"Base, Inserts",Rarest parallel; low odds (case-level hit?),Base
2025 Panini Special Edition Minecraft Set Review and,Achievements,TBD,1:12+ (as base/parallel),Base
2025 Panini Special Edition Minecraft Set Review and,Guaranteed,"Base /325, Crafting Chronicles",1:1,Base
2025 Panini Special Edition Minecraft Set Review and,Mid-Chase,"Gold Parallel, Tour Insert",1:1–1:12,Base
2025 Panini Special Edition Minecraft Set Review and,Super Chase,"Netherite Parallel, Milestones",1:96+ (case),Base
2025 Panini Immaculate NFL Football Set Review and,2023,5 + 1 base,Dual NFL Shields 1/1,Base
2025 Panini Immaculate NFL Football Set Review and,2024,5 + 1 base,"Rookie Logos, Premium Patches",Base
2025 Panini Immaculate NFL Football Set Review and,2025 (exp.),5 + 1 base,"Returning Dual Shields, Rookie RPAs",Base
2025 Panini National Treasures Baseball Set Review and,Red,/75,,Base
2025 Panini National Treasures Baseball Set Review and,Holo Silver,/49,,Base
2025 Panini National Treasures Baseball Set Review and,Emerald,/13,,Base
2025 Panini National Treasures Baseball Set Review and,Holo Gold,/10,,Base
2025 Panini National Treasures Baseball Set Review and,Platinum,1/1,,Base
2025 Panini National Treasures Baseball Set Review and,Cut Signatures,Encased cut autos from deceased legends,1/1 only,Base
2025 Panini Flawless Baseball Set Review and,Future Ink,38 cards,/25,Base
2025 Panini Flawless Baseball Set Review and,Iconic Ink,23 cards,/25 or less,Base
2025 Panini Flawless Baseball Set Review and,Bat Knobs,10 cards,1/1,Base
2025 Panini Flawless Baseball Set Review and,Bat Nameplates,10 cards,1/1,Base
2025 Panini Flawless Baseball Set Review and,Dual Patches,35 cards,/25 or less,Base
2025 Topps Chrome® Baseball Set Review and,Rookies (RC),100,"#56 Luisangel Acuña (NYM), #96 Jacob Wilson (OAK), #217 Roki Sasaki (LAD)",Base
2025 Topps Chrome® Baseball Set Review and,Veterans/Stars,200,"#12 José Ramírez (CLE), #150 Bryce Harper (PHI), #261 Julio Rodríguez (SEA)",Base
2025 Topps Chrome® Baseball Set Review and,1,Shohei Ohtani,LAD,Base
2025 Topps Chrome® Baseball Set Review and,99,Aaron Judge,NYY,Base
2025 Topps Chrome® Baseball Set Review and,96,Jacob Wilson RC,OAK,Base
2025 Topps Chrome® Baseball Set Review and,182,Chris Sale,ATL,Base
2025 Topps Chrome® Baseball Set Review and,300,Paul Skenes RC,PIT,Base
2025 Topps Chrome® Baseball Set Review and,257,Ronald Acuña Jr.,ATL,Base
2025 Topps Chrome® Baseball Set Review and,Refractor,1:3 packs (1 per Jumbo pack),All formats,Base
2025 Topps Chrome® Baseball Set Review and,Teal Refractor,/299; 1:108 packs,All,Base
2025 Topps Chrome® Baseball Set Review and,Aqua Refractor,/199; 1:149 packs,All,Base
2025 Topps Chrome® Baseball Set Review and,Blue Refractor,/150; 1:197 packs,All,Base
2025 Topps Chrome® Baseball Set Review and,Gold Refractor,/50; 1:595 packs,All,Base
2025 Topps Chrome® Baseball Set Review and,Red Refractor,"/5; 1:6,299 packs",All,Base
2025 Topps Chrome® Baseball Set Review and,FrozenFractor,"/5; 1:9,449 packs",Hobby only,Base
2025 Topps Chrome® Baseball Set Review and,SuperFractor,"1/1; Varies (~1:100,000+ packs)",All,Base
2025 Topps Chrome® Baseball Set Review and,X-Fractor,10 per Mega box,Mega exclusive,Base
2025 Topps Chrome® Baseball Set Review and,SSP Variations,"~0.009 (1:8,451 packs)",Rare,Base
2025 Topps Allen & Ginter Baseball Set Review and,Foil Filigree,Unlimited,All formats,Base
2025 Topps Allen & Ginter Baseball Set Review and,Glossy,1/1,Hobby,Base
2025 Topps Allen & Ginter Baseball Set Review and,Allen & Ginter,Unlimited,All formats,Base
2025 Topps Allen & Ginter Baseball Set Review and,Black Bordered,Unlimited,All formats,Base
2025 Topps Allen & Ginter Baseball Set Review and,No Number,50 copies,All formats,Base
2025 Topps Allen & Ginter Baseball Set Review and,Brooklyn Back,/25,All formats,Base
2025 Topps Allen & Ginter Baseball Set Review and,Wood,1/1,Hobby only,Base
2025 Topps Allen & Ginter Baseball Set Review and,Hits (Total),2 per box,Mix of autos/relics; no per-pack breakdown.,Base
2025 Topps Allen & Ginter Baseball Set Review and,Short Prints,1:7 packs (est.),Based on 50/350 base cards.,Base
2025 Topps Allen & Ginter Baseball Set Review and,Autographs,1:12 packs (est.),Framed minis dominant.,Base
